Facility_INSPIRE_ID;parentCompanyName;nameOfFeature;mainActivityCode;mainActivityName;pointGeometryLon;pointGeometryLat;streetName;buildingNumber;city;postalCode;countryCode;reportingYear;status;CompetentAuthorityEPRTRId;authorityName;authorityTelephoneNo;facilityId;x;y
FI.EEA/125251.FACILITY;Siipikarjan kasvattamo;Siipikarjan kasvattamo;7(a);Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.;28.03402;61.72304;Luukkolantie 85;;LAUTEALA;51980;FI;2017;functional;;;;FI_EEA_125251;554649;6843761
FI.EEA/125280.FACILITY;Gasum Oy, Turun biokaasulaitos;Gasum Oy, Turun biokaasulaitos;5(c);Installations for the disposal of non-hazardous waste;22.3333;60.4836;Pitkäsaarenkuja ;;TURKU;20380;FI;2017;functional;;;;FI_EEA_125280;243657;6714363
FI.EEA/16986.FACILITY;RAPALA VMC OYJ, Uistintehdas;RAPALA VMC OYJ, Uistintehdas;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;25.57382;61.16187;Tehtaantie 2;;Vääksy;17200;FI;2017;functional;;;;FI_EEA_16986;423261;6781654
FI.EEA/17014.FACILITY;GENENCOR INTERNATIONAL OY, Jämsänkosken tehdas;GENENCOR INTERNATIONAL OY, Jämsänkosken tehdas;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;25.15593;61.91533;Tiilikantie 15;;JÄMSÄNKOSKI;42300;FI;2017;functional;;;;FI_EEA_17014;403154;6866123
FI.EEA/17066.FACILITY;Lassila & Tikanoja Oyj, Vaskikatu 13;Lassila & Tikanoja Oyj, Vaskikatu 13;5(a);Installations for the recovery or disposal of hazardous waste;22.31697;60.50529;Vaskikatu 13;;TURKU;20380;FI;2017;functional;;;;FI_EEA_17066;242933;6716838
FI.EEA/17098.FACILITY;Stena Recycling Oy, Tahkoluodon murskalaitos;Stena Recycling Oy, Tahkoluodon murskalaitos;5(c);Installations for the disposal of non-hazardous waste;21.39967;61.63556;Tahkoluodontie 1;;PORI;28900;FI;2017;functional;;;;FI_EEA_17098;203432;6846351
FI.EEA/17142.FACILITY;Kuusakoski Oy (aik.Jylhän Metalliromu Oy), Lapuan palvelupiste;Kuusakoski Oy (aik.Jylhän Metalliromu Oy), Lapuan palvelupiste;5(a);Installations for the recovery or disposal of hazardous waste;23.0437;62.94079;Kalliotie 1;;LAPUA;62100;FI;2017;functional;;;;FI_EEA_17142;299291;6985167
FI.EEA/17177.FACILITY;Kuusakoski Oy, Tampereen toimipiste;Kuusakoski Oy, Tampereen toimipiste;5(c);Installations for the disposal of non-hazardous waste;23.90271;61.48014;Lastikankatu 10;;TAMPERE;33730;FI;2017;functional;;;;FI_EEA_17177;335059;6820188
FI.EEA/17188.FACILITY;Rautasoini Oy, Nekalan toimipiste;Rautasoini Oy, Nekalan toimipiste;5(c);Installations for the disposal of non-hazardous waste;23.78405;61.47597;Vihiojantie 16;;TAMPERE;33800;FI;2017;functional;;;;FI_EEA_17188;328720;6820030
FI.EEA/17189.FACILITY;Rautasoini OY, Briketöintilaitos;Rautasoini OY, Briketöintilaitos;5(c);Installations for the disposal of non-hazardous waste;23.89922;61.48194;HYLLILÄNKATU 21;;TAMPERE;33730;FI;2017;functional;;;;FI_EEA_17189;334882;6820397
