Facility_INSPIRE_ID;reportingYear;pollutantCode;pollutantName;medium;totalPollutantQuantityKg;AccidentalPollutantQuantityKG;methodCode;methodName;facilityId
FI.EEA/11035.FACILITY;2015;NH3;Ammonia;AIR;11000.0;0.0;M;Measured: analytical method used;FI_EEA_11035
FI.EEA/11035.FACILITY;2013;NH3;Ammonia;AIR;12400.0;0.0;C;Calculated: calculation method used;FI_EEA_11035
FI.EEA/11035.FACILITY;2012;NH3;Ammonia;AIR;11200.0;0.0;C;Calculated: calculation method used;FI_EEA_11035
FI.EEA/11035.FACILITY;2009;NH3;Ammonia;AIR;12300.0;0.0;C;Calculated: calculation method used;FI_EEA_11035
FI.EEA/11035.FACILITY;2007;NH3;Ammonia;AIR;12300.0;0.0;C;Calculated: calculation method used;FI_EEA_11035
FI.EEA/11035.FACILITY;2016;NH3;Ammonia;AIR;10400.0;0.0;C;Calculated: calculation method used;FI_EEA_11035
FI.EEA/11035.FACILITY;2014;NH3;Ammonia;AIR;11700.0;0.0;C;Calculated: calculation method used;FI_EEA_11035
FI.EEA/11035.FACILITY;2008;NH3;Ammonia;AIR;12300.0;0.0;C;Calculated: calculation method used;FI_EEA_11035
FI.EEA/125248.FACILITY;2010;NH3;Ammonia;AIR;11900.0;0.0;C;Calculated: calculation method used;FI_EEA_125248
FI.EEA/125248.FACILITY;2015;NH3;Ammonia;AIR;30100.0;0.0;C;Calculated: calculation method used;FI_EEA_125248
FI.EEA/125248.FACILITY;2016;NH3;Ammonia;AIR;36300.0;0.0;M;Measured: analytical method used;FI_EEA_125248
FI.EEA/125248.FACILITY;2014;NH3;Ammonia;AIR;20500.0;0.0;C;Calculated: calculation method used;FI_EEA_125248
FI.EEA/125248.FACILITY;2013;NH3;Ammonia;AIR;20500.0;0.0;C;Calculated: calculation method used;FI_EEA_125248
FI.EEA/125248.FACILITY;2011;NH3;Ammonia;AIR;20500.0;0.0;C;Calculated: calculation method used;FI_EEA_125248
FI.EEA/125248.FACILITY;2009;NH3;Ammonia;AIR;11900.0;0.0;C;Calculated: calculation method used;FI_EEA_125248
FI.EEA/125248.FACILITY;2012;NH3;Ammonia;AIR;20500.0;0.0;C;Calculated: calculation method used;FI_EEA_125248
FI.EEA/125251.FACILITY;2010;NH3;Ammonia;AIR;12500.0;0.0;C;Calculated: calculation method used;FI_EEA_125251
FI.EEA/125251.FACILITY;2015;NH3;Ammonia;AIR;13900.0;0.0;M;Measured: analytical method used;FI_EEA_125251
