Facility_INSPIRE_ID;reportingYear;nameOfFeature;mainActivityCode;mainActivityName;city;wasteClassificationCode;wasteClassificationName;wasteTreatmentCode;wasteTreatmentName;totalWasteQuantityTNE;methodCode;methodName;nameOfReceiver;ReceivingSite_city;ReceivingSite_postalCode;ReceivingSite_countryName;facilityId
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002234.ProductionFacility;2017;Metsä Fibre Oy, Äänekosken sellutehdas;6(a);Industrial plants for the production of pulp from timber or similar fibrous materials;Äänekoski;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;71.3;M;Measured: analytical method used;;;;;0000002234
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002234.ProductionFacility;2017;Metsä Fibre Oy, Äänekosken sellutehdas;6(a);Industrial plants for the production of pulp from timber or similar fibrous materials;Äänekoski;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;57.9;M;Measured: analytical method used;;;;;0000002234
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002234.ProductionFacility;2017;Metsä Fibre Oy, Äänekosken sellutehdas;6(a);Industrial plants for the production of pulp from timber or similar fibrous materials;Äänekoski;NONHW;Non-hazardous waste;R;Destined for recovery;138000.0;M;Measured: analytical method used;;;;;0000002234
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002234.ProductionFacility;2017;Metsä Fibre Oy, Äänekosken sellutehdas;6(a);Industrial plants for the production of pulp from timber or similar fibrous materials;Äänekoski;NONHW;Non-hazardous waste;D;Destined for disposal;11900.0;M;Measured: analytical method used;;;;;0000002234
FI.EEA/17066.FACILITY;2017;Lassila & Tikanoja Oyj, Vaskikatu 13;5(a);Installations for the recovery or disposal of hazardous waste;TURKU;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;1630.0;M;Measured: analytical method used;;;;;FI_EEA_17066
FI.EEA/17066.FACILITY;2017;Lassila & Tikanoja Oyj, Vaskikatu 13;5(a);Installations for the recovery or disposal of hazardous waste;TURKU;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;3220.0;M;Measured: analytical method used;;;;;FI_EEA_17066
FI.EEA/17066.FACILITY;2017;Lassila & Tikanoja Oyj, Vaskikatu 13;5(a);Installations for the recovery or disposal of hazardous waste;TURKU;NONHW;Non-hazardous waste;R;Destined for recovery;63000.0;M;Measured: analytical method used;;;;;FI_EEA_17066
FI.EEA/17066.FACILITY;2017;Lassila & Tikanoja Oyj, Vaskikatu 13;5(a);Installations for the recovery or disposal of hazardous waste;TURKU;NONHW;Non-hazardous waste;D;Destined for disposal;2760.0;M;Measured: analytical method used;;;;;FI_EEA_17066
FI.EEA/17066.FACILITY;2017;Lassila & Tikanoja Oyj, Vaskikatu 13;5(a);Installations for the recovery or disposal of hazardous waste;TURKU;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;97.3;M;Measured: analytical method used;Nehlsen GmbH;Bremen;28237;Germany;FI_EEA_17066
FI.EEA/67510.FACILITY;2017;Transtech Oy, Otanmäen tehdas;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;OTANMÄKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;10.2;M;Measured: analytical method used;;;;;FI_EEA_67510
