Facility_INSPIRE_ID;parentCompanyName;nameOfFeature;mainActivityCode;mainActivityName;pointGeometryLon;pointGeometryLat;streetName;buildingNumber;postalCode;city;countryCode;telephoneNo
FI.EEA/10076.FACILITY;Aspocomp Oy, Salon tehdas;Aspocomp Oy, Salon tehdas;2(f);Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process;23.113789;60.388821;Örninkatu 15;;24100;SALO;FI;
FI.EEA/11035.FACILITY;Sikala;Sikala;7(a);Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.;23.17839;60.7283;Sorvastontie 580;;31500;KOSKITL;FI;
FI.EEA/125248.FACILITY;Blåmans Oy;Blåmans Oy;7(a);Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.;22.63085;63.42613;Östra Jeppovägen 279;;66850;JEPPO;FI;
FI.EEA/125249.FACILITY;E-P:n Minkinrehu Oy:n Kortesjärven rehutehdas;E-P:n Minkinrehu Oy:n Kortesjärven rehutehdas;5(e);Installations for the disposal or recycling of animal carcasses and animal waste;23.2187;63.2701;Luhtalantie 160;;62420;KORTESJÄRVI;FI;
FI.EEA/125251.FACILITY;Siipikarjan kasvattamo;Siipikarjan kasvattamo;7(a);Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.;28.03402;61.72304;Luukkolantie 85;;51980;LAUTEALA;FI;
FI.EEA/125255.FACILITY;WIENERBERGER OY AB, Lappilan tiilitehdas;WIENERBERGER OY AB, Lappilan tiilitehdas;3(g);Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain;25.164306;60.847093;Tiilitehtaantie 11;;16670;LAPPILA;FI;
FI.EEA/125260.FACILITY;Karhula Components Oy;Karhula Components Oy;2(f);Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process;26.941662;60.504294;Kehätie 20;;48600;KOTKA;FI;
FI.EEA/125262.FACILITY;Henkilönimiosakeyhtiö/Höljäkkä Oy;Henkilönimiosakeyhtiö/Höljäkkä Oy;6(c);Industrial plants for the preservation of wood and wood products with chemicals;24.50924;62.12843;Kyllästämöntie;;35990;KOLHO;FI;
FI.EEA/125263.FACILITY;KUOPION ENERGIA ILOHARJUN LÄMPÖKESKUS;KUOPION ENERGIA ILOHARJUN LÄMPÖKESKUS;1(c);Thermal power stations and other combustion installations;27.635079;62.889542;Iloharjunkatu 1;;70100;KUOPIO;FI;
FI.EEA/125266.FACILITY;Fortum Power and Heat Oy, Kivenlahden lämpökeskus;Fortum Power and Heat Oy, Kivenlahden lämpökeskus;1(c);Thermal power stations and other combustion installations;24.6299;60.1602;Ruukinmestarintie 10;;02320;ESPOO;FI;
FI.EEA/125267.FACILITY;Mondi Lohja Oy, Lohjan Lämpölaitos;Mondi Lohja Oy, Lohjan Lämpölaitos;1(c);Thermal power stations and other combustion installations;24.05324;60.25802;Kiviniemenkatu 5;;08100;LOHJA;FI;
FI.EEA/125268.FACILITY;Fortum Power and Heat Oy, Otaniemen lämpökeskus;Fortum Power and Heat Oy, Otaniemen lämpökeskus;1(c);Thermal power stations and other combustion installations;24.82875;60.188445;Otakaari 6;;02150;ESPOO;FI;
FI.EEA/125269.FACILITY;Fortum Power and Heat Oy, Tapiolan lämpökeskus ja varavoimalaitos;Fortum Power and Heat Oy, Tapiolan lämpökeskus ja varavoimalaitos;1(c);Thermal power stations and other combustion installations;24.7964;60.1782;Ahertajantie 4;;02100;ESPOO;FI;
FI.EEA/125276.FACILITY;Porvoon Energia Oy, Harabackan maakaasuvoimalaitos;Porvoon Energia Oy, Harabackan maakaasuvoimalaitos;1(c);Thermal power stations and other combustion installations;25.620974;60.396665;Harabackankatu 18;;06100;PORVOO;FI;
FI.EEA/125278.FACILITY;Vantaan Energia Oy, Hakunilan lämpökeskus;Vantaan Energia Oy, Hakunilan lämpökeskus;1(c);Thermal power stations and other combustion installations;25.094531;60.277594;Käärmekalliontie 3;;01200;VANTAA;FI;
FI.EEA/125280.FACILITY;Gasum Oy, Turun biokaasulaitos;Gasum Oy, Turun biokaasulaitos;5(c);Installations for the disposal of non-hazardous waste;22.3333;60.4836;Pitkäsaarenkuja ;;20380;TURKU;FI;
FI.EEA/125281.FACILITY;Hyyti Erkki;Hyyti Erkki;7(a);Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.;22.351566;61.283062;Kauvatsantie 307;;32800;KOKEMÄKI;FI;
FI.EEA/125285.FACILITY;Kylämäki Juha ja Elina;Kylämäki Juha ja Elina;7(a);Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.;22.890242;60.577734;Hallintie 31;;21490;MARTTILA;FI;
FI.EEA/125286.FACILITY;Lankisen Tila Oy;Lankisen Tila Oy;7(a);Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.;22.57334;60.89421;Yläneentie 869;;32500;ORIPÄÄ;FI;
